"filename", "language", "Markdown", "C", "C++", "Makefile", "CMake", "Python", "YAML", "Ruby", "Shell Script", "Properties", "Handlebars", "JSON", "reStructuredText", "HTML", "JavaScript", "CSS", "pip requirements", "comment", "blank", "total"
"c:\Users\slj\Desktop\Elabel\components\ui\screens\ui_SlaveActiveScreen.c", "C", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 112
"c:\Users\slj\Desktop\Elabel\components\ui\screens\ui_TaskScreen.c", "C", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25, 242
"c:\Users\slj\Desktop\Elabel\components\ui\screens\ui_UpdateScreen.c", "C", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 71
"c:\Users\slj\Desktop\Elabel\components\ui\ui.c", "C", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 30, 264
"c:\Users\slj\Desktop\Elabel\components\ui\ui.h", "C++", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 22, 262
"c:\Users\slj\Desktop\Elabel\components\ui\ui_events.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\slj\Desktop\Elabel\components\ui\ui_helpers.c", "C", 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 122, 348
"c:\Users\slj\Desktop\Elabel\components\ui\ui_helpers.h", "C++", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61, 149
"c:\Users\slj\Desktop\Elabel\main\CMakeLists.txt", "CMake", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\slj\Desktop\Elabel\main\battery_manager\battery_manager.cpp", "C++", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 160
"c:\Users\slj\Desktop\Elabel\main\battery_manager\battery_manager.hpp", "C++", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 57
"c:\Users\slj\Desktop\Elabel\main\cJSON\cJSON.c", "C", 0, 2494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 458, 3164
"c:\Users\slj\Desktop\Elabel\main\cJSON\cJSON.h", "C++", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 43, 306
"c:\Users\slj\Desktop\Elabel\main\component.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\ActiveState.cpp", "C++", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 87
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\ActiveState.hpp", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\ChoosingTaskState.cpp", "C++", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 21, 246
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\ChoosingTaskState.hpp", "C++", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 37
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\ElabelController.cpp", "C++", 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 15, 257
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\ElabelController.hpp", "C++", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 60
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\FocusTaskState.cpp", "C++", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 189
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\FocusTaskState.hpp", "C++", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 95
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\HostActiveState.cpp", "C++", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 105
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\HostActiveState.hpp", "C++", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 110
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\InitState.cpp", "C++", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 139
"c:\Users\slj\Desktop\Elabel\main\elabel_state_machine\InitState.hpp", "C++", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
